"COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE","FULL_SOURCE_CITATION"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2007-M09","-0.5141127572374042","Units","Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2007-M10","1.419296611156399","Units","Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2007-M11","0.7650241850985345","Units","Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2007-M12","-0.6794484644749587","Units","Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M01","1.051242703687237","Units","Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M02","0.6769798467215441","Units","Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M03","0.08881119866924172","Units","Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M04","1.573239436619718","Units","Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M05","0.6156662090769167","Units","Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M06","-0.1832940560356114","Units","Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M07","1.090738388468548","Units","Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M08","0.381053839219864","Units","Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M09","-0.2136141611222227","Units","Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M10","1.104445050449959","Units","Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M11","-0.06743088334457181","Units","Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2008-M12","-0.8650472334682861","Units","Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M01","0.00544521433724935","Units","Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M02","-0.3185276942134136","Units","Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations"
"Singapore","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","2009-M03","-0.5667153723251717","Units","Country authorities. 2024. National Summary Data Pages (NSDPs).https://dsbb.imf.org/; Organisation for Economic Co-operation and Development. 2024.Consumer price indices (CPIs). https://stats.oecd.org/Index.aspx?DataSetCode=PRICES_CPI; Eurostat. 2024. Harmonised Index of Consumer Prices (HICP).https://ec.europa.eu/eurostat/web/hicp; IMF staff calculations"
